Date,BTC,BTC_VOL,SP_500
2/1/2018,9171,9959400448,2822
2/2/2018,8831,12726899712,2762
2/3/2018,9175,7263790080,2649
2/4/2018,8277,7073549824,2695
2/5/2018,6955,9285289984,2682
2/6/2018,7754,13999800320,2581
2/7/2018,7621,9169280000,2620
2/8/2018,8266,9346750464,2656
2/9/2018,8737,6784820224,2663
2/10/2018,8622,7780960256,2699
2/11/2018,8130,6122189824,2731
2/12/2018,8927,6256439808,2732
2/13/2018,8598,5696719872,2716
2/14/2018,9495,7909819904,2701
2/15/2018,10166,9062540288,2704
2/16/2018,10234,7296159744,2747
2/17/2018,11113,8660880384,2780
2/18/2018,10552,8744009728,2744
2/19/2018,11225,7652089856,2714
2/20/2018,11404,9926540288,2678
2/21/2018,10690,9405339648,2691
2/22/2018,10005,8040079872,2721
2/23/2018,10301,7739500032,2728
2/24/2018,9813,6917929984,2727
2/25/2018,9665,5706939904,2739
2/26/2018,10367,7287690240,2787
2/27/2018,10726,6966179840,2783
2/28/2018,10398,6936189952,2765
3/1/2018,10951,7317279744,2749
3/2/2018,11086,7620590080,2747
3/3/2018,11490,6690570240,2752
3/4/2018,11513,6084149760,2713
3/5/2018,11573,6468539904,2717
3/6/2018,10780,6832169984,2712
3/7/2018,9966,8797910016,2644
3/8/2018,9395,7186089984,2588
3/9/2018,9338,8704190464,2659
3/10/2018,8866,5386319872,2613
3/11/2018,9579,6296370176,2605
3/12/2018,9205,6457399808,2641
3/13/2018,9195,5991139840,2582
3/14/2018,8270,6438230016,2614
3/15/2018,8301,6834429952,2645
3/16/2018,8338,5289379840,2663
3/17/2018,7917,4426149888,2604
3/18/2018,8224,6639190016,2613
3/19/2018,8631,6729110016,2657
3/20/2018,8913,6361789952,2642
3/21/2018,8929,6043129856,2664
3/22/2018,8728,5530390016,2656
3/23/2018,8880,5954120192,2678
3/24/2018,8668,5664600064,2706
3/25/2018,8496,4569880064,2709
3/26/2018,8209,5921039872,2693
3/27/2018,7833,5378250240,2670
3/28/2018,7954,4935289856,2670
3/29/2018,7166,6361229824,2635
3/30/2018,6891,6289509888,2639
3/31/2018,6974,4553269760,2667
4/1/2018,6844,4532100096,2670
4/2/2018,7084,4333440000,2648
4/3/2018,7456,5499700224,2655
4/4/2018,6854,4936000000,2636
4/5/2018,6811,5639320064,2630
4/6/2018,6636,3766810112,2663
4/7/2018,6911,3976610048,2673
4/8/2018,7024,3652499968,2672
4/9/2018,6771,4894060032,2698
4/10/2018,6835,4272750080,2723
4/11/2018,6968,4641889792,2728
4/12/2018,7889,8906250240,2730
4/13/2018,7896,7764460032,2711
4/14/2018,7986,5191430144,2722
4/15/2018,8329,5244480000,2720
4/16/2018,8059,5631309824,2713
4/17/2018,7902,6900879872,2733
4/18/2018,8163,6529909760,2724
4/19/2018,8294,7063209984,2733
4/20/2018,8846,8438110208,2728
4/21/2018,8896,7548550144,2721
4/22/2018,8802,6629899776,2690
4/23/2018,8931,6925190144,2724
4/24/2018,9698,10678800384,2705
4/25/2018,8846,11083100160,2735
4/26/2018,9282,8970559488,2747
4/27/2018,8987,7566289920,2749
4/28/2018,9348,7805479936,2772
4/29/2018,9419,8853000192,2770
4/30/2018,9241,8673920000,2779
5/1/2018,9119,7713019904,2782
5/2/2018,9236,7558159872,2787
5/3/2018,9744,10207299584,2776
5/4/2018,9701,8217829888,2782
5/5/2018,9858,7651939840,2780
5/6/2018,9655,7222280192,2774
5/7/2018,9373,7394019840,2763
5/8/2018,9235,7415869952,2767
5/9/2018,9325,7226890240,2750
5/10/2018,9044,6906699776,2755
5/11/2018,8441,8488520192,2717
5/12/2018,8505,6821380096,2723
5/13/2018,8724,5866379776,2700
5/14/2018,8717,7364149760,2716
5/15/2018,8510,6705710080,2718
5/16/2018,8369,6760220160,2727
5/17/2018,8094,5862530048,2713
5/18/2018,8251,5764190208,2737
5/19/2018,8247,4712399872,2760
5/20/2018,8513,5191059968,2784
5/21/2018,8419,5154990080,2794
